Name,Position,Birthdate,Foot,Height,Nationality,Club,Year,Path,ID,Birth_Day,Birth_Month,Birth_Year
Hazem Mbarek,Ailier droit,22 déc. 1992 (32),left,,Tunisie,egs gafsa,2024,/hazem-mbarek/marktwertverlauf/spieler/454490,454490,22,déc.,1992
Salaheddine Mkadmini,Ailier droit,- (-),,,Tunisie,egs gafsa,2024,/salaheddine-mkadmini/profil/spieler/1310295,1310295,,,
Fayed Ben Hassine,Avant-centre,27 oct. 1998 (26),,,Tunisie,egs gafsa,2024,/fayed-ben-hassine/marktwertverlauf/spieler/1229875,1229875,27,oct.,1998
Amir Omrani,Avant-centre,8 févr. 1989 (36),right,"1,84m",Tunisie,egs gafsa,2024,/amir-omrani/marktwertverlauf/spieler/159349,159349,8,févr.,1989
Aymen Ghali,Défenseur central,26 nov. 1990 (34),,,Tunisie,la palme sportive tozeur,2024,/aymen-ghali/profil/spieler/290451,290451,26,nov.,1990
Jamel Hmida,Arrière gauche,7 févr. 1990 (35),left,,Tunisie,la palme sportive tozeur,2024,/jamel-hmida/profil/spieler/302023,302023,7,févr.,1990
Jasser Hadfi,Arrière gauche,12 nov. 1997 (27),left,,Tunisie,la palme sportive tozeur,2024,/jasser-hadfi/profil/spieler/565218,565218,12,nov.,1997
Wajdi Deb,Défense,27 juil. 1995 (29),,,Tunisie,la palme sportive tozeur,2024,/wajdi-deb/profil/spieler/565211,565211,27,juil.,1995
Bechir Gharbi,Milieu défensif,1 janv. 1998 (27),,,Tunisie,la palme sportive tozeur,2024,/bechir-gharbi/profil/spieler/630519,630519,1,janv.,1998
Abdelkader Touil,Défense,1 nov. 1996 (28),,,Tunisie,la palme sportive tozeur,2024,/abdelkader-touil/profil/spieler/565210,565210,1,nov.,1996
Belgacem Mkaouem,Midfielder,- (-),,,Tunisie,association sportive de djerba,2024,/belgacem-mkaouem/profil/spieler/334940,334940,,,
Bassem Mkaouem,Left-Back,- (-),,,Tunisie,association sportive de djerba,2024,/bassem-mkaouem/profil/spieler/334877,334877,,,
Nabil Ben Amara,Gardien de but,- (-),right,,Tunisie,la palme sportive tozeur,2024,/nabil-ben-amara/profil/spieler/290410,290410,,,
Khaled Messai,Gardien de but,8 juin 1992 (32),,,Tunisie,la palme sportive tozeur,2024,/khaled-messai/profil/spieler/565209,565209,8,juin,1992
Issa Zidi,Gardien de but,29 nov. 1999 (25),,,Tunisie,la palme sportive tozeur,2024,/issa-zidi/profil/spieler/565219,565219,29,nov.,1999
Mohamed Saibi,Milieu,14 oct. 1994 (30),,,Tunisie,la palme sportive tozeur,2024,/mohamed-saibi/profil/spieler/415474,415474,14,oct.,1994
Haythem Zakaria,Défense,25 juin 1995 (29),,,Tunisie,la palme sportive tozeur,2024,/haythem-zakaria/profil/spieler/565224,565224,25,juin,1995
Fouad Ben Hamed,Milieu défensif,- (-),right,,Tunisie,la palme sportive tozeur,2024,/fouad-ben-hamed/profil/spieler/251707,251707,,,
Tarek Chaabouni,Milieu offensif,7 août 1990 (34),right,"1,77m",Tunisie,olympique du kef,2024,/tarek-chaabouni/profil/spieler/251711,251711,7,août,1990
Mehdi Marzouki,Milieu défensif,19 mai 1987 (37),right,"1,87m",Tunisie,la palme sportive tozeur,2024,/mehdi-marzouki/profil/spieler/122614,122614,19,mai,1987
Khalil Mahmoudi,Milieu,26 juil. 2002 (21),,,Tunisie,etoile sportive metlaoui,2023,/khalil-mahmoudi/marktwertverlauf/spieler/1086611,1086611,26,juil.,2002
Abdelkader Ayadi,Gardien de but,2 déc. 2001 (22),,,Tunisie,us tataouine,2023,/abdelkader-ayadi/marktwertverlauf/spieler/1069673,1069673,2,déc.,2001
Rafik Mednini,Défenseur central,8 févr. 1996 (28),right,"1,89m",Tunisie,us tataouine,2023,/rafik-mednini/marktwertverlauf/spieler/402255,402255,8,févr.,1996
Jasser Ben Attig,Arrière droit,3 oct. 1997 (26),right,"1,74m",Tunisie,etoile sportive metlaoui,2023,/jasser-ben-attig/marktwertverlauf/spieler/754270,754270,3,oct.,1997
Adem Ben Fajria,Ailier gauche,2 mai 2003 (21),,,Tunisie,us tataouine,2023,/adem-ben-fajria/marktwertverlauf/spieler/1017952,1017952,2,mai,2003
Ali Fourji,Attaquant,30 janv. 1999 (25),,,Tunisie,etoile sportive metlaoui,2023,/ali-fourji/profil/spieler/845057,845057,30,janv.,1999
Yassine Mejdi,Avant-centre,18 avr. 1996 (28),right,,Tunisie,etoile sportive metlaoui,2023,/yassine-mejdi/marktwertverlauf/spieler/415924,415924,18,avr.,1996
Achref Chouichi,Milieu offensif,- (-),,,Tunisie,etoile sportive metlaoui,2023,/achref-chouichi/profil/spieler/1178791,1178791,,,
Abdessalem Nsiri,Milieu central,10 juin 1998 (26),right,"1,81m",Tunisie,etoile sportive metlaoui,2023,/abdessalem-nsiri/profil/spieler/1113830,1113830,10,juin,1998
Hazem Kanoun,Milieu central,11 févr. 2000 (24),,"1,75m",Tunisie,etoile sportive metlaoui,2023,/hazem-kanoun/profil/spieler/668751,668751,11,févr.,2000
Mohamed Amine Ben Amor,Milieu central,9 juin 1997 (27),right,,Tunisie,etoile sportive metlaoui,2023,/mohamed-amine-ben-amor/marktwertverlauf/spieler/758521,758521,9,juin,1997
Mohamed Jaballah,Milieu central,1 janv. 1997 (27),right,,Tunisie,etoile sportive metlaoui,2023,/mohamed-jaballah/marktwertverlauf/spieler/530367,530367,1,janv.,1997
Wael Chaieb,Milieu offensif,1 janv. 2004 (20),right,,Tunisie,us tataouine,2023,/wael-chaieb/marktwertverlauf/spieler/1109319,1109319,1,janv.,2004
Wajih Aouani,Milieu offensif,4 nov. 2004 (19),,,Tunisie,us tataouine,2023,/wajih-aouani/marktwertverlauf/spieler/1107018,1107018,4,nov.,2004
Saber Hammami,Milieu offensif,15 juil. 1997 (26),right,,Tunisie,us tataouine,2023,/saber-hammami/profil/spieler/538494,538494,15,juil.,1997
Ali Jemal,Gardien de but,9 juin 1990 (34),right,"1,92m",Tunisie,etoile sportive du sahel,2023,/ali-jemal/marktwertverlauf/spieler/221355,221355,9,juin,1990
Motez Nourani,Ailier gauche,11 janv. 2002 (22),right,"1,77m",Tunisie,us tataouine,2023,/motez-nourani/marktwertverlauf/spieler/1176866,1176866,11,janv.,2002
Omrane Khachnaoui,Défenseur central,10 janv. 2003 (21),,,Tunisie,etoile sportive metlaoui,2023,/omrane-khachnaoui/marktwertverlauf/spieler/1013417,1013417,10,janv.,2003
Mohamed Amine Lakhal,Défenseur central,10 févr. 1999 (25),left,,Tunisie,etoile sportive metlaoui,2023,/mohamed-amine-lakhal/marktwertverlauf/spieler/559008,559008,10,févr.,1999
Mohamed Amine Hantech,Défenseur central,14 janv. 2003 (21),,"1,82m",Tunisie,us tataouine,2023,/mohamed-amine-hantech/marktwertverlauf/spieler/1264261,1264261,14,janv.,2003
Mohamed Amine Mourou,Arrière gauche,24 avr. 2004 (20),,"1,83m",Tunisie,us tataouine,2023,/mohamed-amine-mourou/marktwertverlauf/spieler/1107017,1107017,24,avr.,2004
Mohamed Jaballah,Defender,- (-),,,Tunisie,as marsa,2023,/mohamed-jaballah/marktwertverlauf/spieler/1178783,1178783,,,
Kais Fdhil,Avant-centre,1 janv. 2001 (23),,,Tunisie,union sportive de ben guerdane,2023,/kais-fdhil/marktwertverlauf/spieler/847471,847471,1,janv.,2001
Mabrouk Bagaoud,Attaquant,6 mai 2001 (23),,,Tunisie,union sportive de ben guerdane,2023,/mabrouk-bagaoud/marktwertverlauf/spieler/805875,805875,6,mai,2001
Ilyes Meftah,Ailier droit,- (-),,,Tunisie,us tataouine,2023,/ilyes-meftah/marktwertverlauf/spieler/1170289,1170289,,,
Aziz Yermani,Gardien de but,20 mars 2000 (24),,,Tunisie,stade tunisien,2023,/aziz-yermani/profil/spieler/674992,674992,20,mars,2000
Malek Zarrouk,Arrière droit,27 juil. 2000 (23),right,,Tunisie,stade tunisien,2023,/malek-zarrouk/profil/spieler/812812,812812,27,juil.,2000
Helmi Assidi,Avant-centre,9 févr. 2003 (21),,,Tunisie,us tataouine,2023,/helmi-assidi/marktwertverlauf/spieler/1233775,1233775,9,févr.,2003
Bilel Hamrouni,Avant-centre,23 févr. 2000 (24),,,Tunisie,us tataouine,2023,/bilel-hamrouni/profil/spieler/885774,885774,23,févr.,2000
Haythem Jouini,Avant-centre,7 mai 1993 (31),right,"1,85m",Tunisie,stade tunisien,2023,/haythem-jouini/marktwertverlauf/spieler/146519,146519,7,mai,1993
Sanad Khemissi,Milieu central,27 sept. 1999 (24),right,,Tunisie,stade tunisien,2023,/sanad-khemissi/profil/spieler/617654,617654,27,sept.,1999
Skander Amor,Milieu défensif,15 mai 2000 (24),,,Tunisie,stade tunisien,2023,/skander-amor/marktwertverlauf/spieler/803085,803085,15,mai,2000
Mehdi Ouedherfi,Milieu défensif,7 mai 1995 (29),right,"1,87m",Tunisie,union sportive de ben guerdane,2023,/mehdi-ouedherfi/profil/spieler/320374,320374,7,mai,1995
Youssef Mosrati,Milieu central,6 déc. 1999 (24),left,"1,71m",Tunisie,union sportive de ben guerdane,2023,/youssef-mosrati/marktwertverlauf/spieler/651142,651142,6,déc.,1999
Mohamed Ben Tarcha,Milieu central,11 nov. 1994 (29),right,"1,85m",Tunisie,union sportive de ben guerdane,2023,/mohamed-ben-tarcha/marktwertverlauf/spieler/402075,402075,11,nov.,1994
Anis Khedher,Milieu central,19 sept. 1991 (32),right,"1,82m",Tunisie,union sportive de ben guerdane,2023,/anis-khedher/marktwertverlauf/spieler/207441,207441,19,sept.,1991
Bechir Ghariani,Ailier gauche,28 févr. 2001 (23),right,"1,82m",Tunisie,union sportive de ben guerdane,2023,/bechir-ghariani/profil/spieler/672438,672438,28,févr.,2001
Houssem Habbassi,Ailier droit,1 janv. 1996 (28),left,"1,75m",Tunisie,union sportive de ben guerdane,2023,/houssem-habbassi/marktwertverlauf/spieler/406116,406116,1,janv.,1996
Mohamed Amine Meskini,Milieu défensif,5 juin 1997 (27),right,"1,80m",Tunisie,union sportive de ben guerdane,2023,/mohamed-amine-meskini/marktwertverlauf/spieler/422389,422389,5,juin,1997
Ibrahim Mokhtar,Gardien de but,18 mars 1994 (30),right,"1,84m",Tunisie,avenir sportif de kasserine,2023,/ibrahim-mokhtar/profil/spieler/1020823,1020823,18,mars,1994
Wassim Attig,Défense,- (-),,,Tunisie,avenir sportif de kasserine,2023,/wassim-attig/profil/spieler/1110965,1110965,,,
Mohamed Sebai,Arrière gauche,24 oct. 1997 (26),left,,Tunisie,avenir sportif de kasserine,2023,/mohamed-sebai/profil/spieler/942239,942239,24,oct.,1997
Amine Khaloufi,Ailier droit,26 mars 1998 (26),right,,Tunisie,union sportive de ben guerdane,2023,/amine-khaloufi/marktwertverlauf/spieler/949152,949152,26,mars,1998
Nassim Sioud,Avant-centre,19 juin 1998 (26),,,Tunisie,union sportive de ben guerdane,2023,/nassim-sioud/marktwertverlauf/spieler/843455,843455,19,juin,1998
Achref Gasmi,Milieu,- (-),,,Tunisie,avenir sportif de kasserine,2023,/achref-gasmi/profil/spieler/304145,304145,,,
Zied Zaafouri,Milieu,20 nov. 1997 (26),,,Tunisie,eo sidi bouzid,2023,/zied-zaafouri/profil/spieler/464740,464740,20,nov.,1997
Mohamed Nasri,Milieu central,4 mai 1992 (32),,,Tunisie,eo sidi bouzid,2023,/mohamed-nasri/profil/spieler/857041,857041,4,mai,1992
Rafaeddine Riahi,Milieu central,26 août 2004 (19),,,Tunisie,eo sidi bouzid,2023,/rafaeddine-riahi/profil/spieler/1135202,1135202,26,août,2004
Mohamed Amine Zitouni,Avant-centre,5 avr. 2002 (22),,,Tunisie,eo sidi bouzid,2023,/mohamed-amine-zitouni/profil/spieler/1089190,1089190,5,avr.,2002
Mohamed Kacem Ouni,Défenseur central,15 août 1994 (29),left,"1,86m",Tunisie,cs hammam lif,2023,/mohamed-kacem-ouni/profil/spieler/610533,610533,15,août,1994
Khaled Youssef,Gardien de but,15 mars 2004 (20),,,Tunisie,etoile sportive du sahel,2023,/khaled-youssef/profil/spieler/1240923,1240923,15,mars,2004
Ahmed Fazzani,Milieu offensif,26 mai 1991 (33),right,"1,74m",Tunisie,js kairouanaise,2023,/ahmed-fazzani/profil/spieler/547760,547760,26,mai,1991
Nidhal Delhoumi,Ailier droit,29 mai 1996 (28),left,"1,72m",Tunisie,js kairouanaise,2023,/nidhal-delhoumi/profil/spieler/399722,399722,29,mai,1996
Mouhab Touati,Défenseur central,11 avr. 2000 (24),right,,Tunisie,avenir sportif de gabes,2023,/mouhab-touati/profil/spieler/1266987,1266987,11,avr.,2000
Wajdi Mejri,Avant-centre,28 mai 1989 (35),right,"1,82m",Tunisie,js kairouanaise,2023,/wajdi-mejri/profil/spieler/259658,259658,28,mai,1989
Slim Mezlini,Avant-centre,31 août 1987 (36),right,,Tunisie,js kairouanaise,2023,/slim-mezlini/profil/spieler/290425,290425,31,août,1987
Zidane Gouaich,Avant-centre,- (-),right,,Tunisie,avenir sportif de kasserine,2023,/zidane-gouaich/profil/spieler/1110967,1110967,,,
Achref Abdellafou,Gardien de but,30 déc. 1994 (29),right,"1,95m",Tunisie,union sportive de ben guerdane,2023,/achref-abdellafou/profil/spieler/845071,845071,30,déc.,1994
Bahaeddine Othman,Défenseur central,3 févr. 1996 (28),right,"1,88m",Tunisie,js kairouanaise,2023,/bahaeddine-othman/profil/spieler/295417,295417,3,févr.,1996
Wajdi Khatib,Défenseur central,28 juin 1993 (31),,,Tunisie,avenir sportif de gabes,2023,/wajdi-khatib/profil/spieler/380869,380869,28,juin,1993
Bassem Sayari,Défenseur central,20 févr. 1999 (25),,,Tunisie,union sportive de ben guerdane,2023,/bassem-sayari/marktwertverlauf/spieler/805318,805318,20,févr.,1999
Ayoub Tlili,Arrière droit,29 nov. 1994 (29),right,,Tunisie,union sportive de ben guerdane,2023,/ayoub-tlili/marktwertverlauf/spieler/303245,303245,29,nov.,1994
Amine Mhadhebi,Arrière droit,7 nov. 1989 (34),right,"1,84m",Tunisie,union sportive de ben guerdane,2023,/amine-mhadhebi/profil/spieler/159998,159998,7,nov.,1989
Nader Jerbi,Ailier gauche,3 mai 1996 (28),right,"1,7m",Tunisie,avenir sportif de gabes,2023,/nader-jerbi/profil/spieler/567043,567043,3,mai,1996
Koussai Ouf,Milieu offensif,9 janv. 2003 (21),,,Tunisie,avenir sportif de gabes,2023,/koussai-ouf/profil/spieler/1266990,1266990,9,janv.,2003
Youssef Mallat,Milieu gauche,4 févr. 2000 (24),right,"1,8m",Tunisie,avenir sportif de gabes,2023,/youssef-mallat/profil/spieler/1103820,1103820,4,févr.,2000
Youssef Moatez Jelassi,Milieu central,12 févr. 1998 (26),right,"1,7m",Tunisie,avenir sportif de gabes,2023,/youssef-moatez-jelassi/profil/spieler/529976,529976,12,févr.,1998
Hassen Gammouna,Milieu défensif,2 juin 1994 (30),right,,Tunisie,avenir sportif de gabes,2023,/hassen-gammouna/profil/spieler/1111750,1111750,2,juin,1994
Hassan Marzougui,Arrière gauche,5 sept. 2003 (20),left,,Tunisie,avenir sportif de gabes,2023,/hassan-marzougui/profil/spieler/1266988,1266988,5,sept.,2003
Yassine Chikhaoui,Milieu offensif,22 sept. 1986 (37),,"1,89m",Tunisie,etoile sportive du sahel,2023,/yassine-chikhaoui/marktwertverlauf/spieler/39989,39989,22,sept.,1986
Louay Ben Hassine,Milieu offensif,2 avr. 2000 (24),,"1,75m",Tunisie,etoile sportive du sahel,2023,/louay-ben-hassine/marktwertverlauf/spieler/583754,583754,2,avr.,2000
Alaya Brigui,Milieu droit,1 janv. 1992 (32),right,"1,76m",Tunisie,etoile sportive du sahel,2023,/alaya-brigui/profil/spieler/210950,210950,1,janv.,1992
Ahmed Hlila,Milieu central,25 avr. 2005 (19),,"1,81m",Tunisie,etoile sportive du sahel,2023,/ahmed-hlila/profil/spieler/1258058,1258058,25,avr.,2005
Fradj Ben Njima,Arrière droit,23 janv. 2004 (20),right,,Tunisie,etoile sportive du sahel,2023,/fradj-ben-njima/marktwertverlauf/spieler/864109,864109,23,janv.,2004
Mouhadhed Khalil,Défenseur central,1 janv. 1999 (25),,,Tunisie,egs gafsa,2023,/mouhadhed-khalil/profil/spieler/814403,814403,1,janv.,1999
Wissam Amara,Arrière droit,6 juil. 1997 (26),right,"1,75m",Tunisie,egs gafsa,2023,/wissam-amara/profil/spieler/672434,672434,6,juil.,1997
Moones Haj Amara,Avant-centre,21 janv. 2003 (21),right,,Tunisie,avenir sportif de gabes,2023,/moones-haj-amara/profil/spieler/1266992,1266992,21,janv.,2003
Fahmi Ben Romdhane,Arrière gauche,12 déc. 1990 (33),left,,Tunisie,etoile sportive du sahel,2023,/fahmi-ben-romdhane/marktwertverlauf/spieler/133381,133381,12,déc.,1990
Abdelrazek Bouazra,Défenseur central,8 juil. 1998 (25),right,"1,88m",Tunisie,etoile sportive du sahel,2023,/abdelrazek-bouazra/marktwertverlauf/spieler/740922,740922,8,juil.,1998
Slim Abid,Arrière gauche,5 janv. 1994 (30),left,"1,76m",Tunisie,js kairouanaise,2023,/slim-abid/profil/spieler/568425,568425,5,janv.,1994
Mehrez Ben Rajeh,Arrière gauche,2 mars 1996 (28),left,,Tunisie,olympique beja,2023,/mehrez-ben-rajeh/marktwertverlauf/spieler/402235,402235,2,mars,1996
Najeh Ferjani,Arrière gauche,9 nov. 1999 (24),left,,Tunisie,olympique beja,2023,/najeh-ferjani/marktwertverlauf/spieler/1004072,1004072,9,nov.,1999
Aziz Jabri,Arrière droit,9 août 1999 (24),,,Tunisie,olympique beja,2023,/aziz-jabri/profil/spieler/842920,842920,9,août,1999
Wael Kordi,Gardien de but,29 sept. 1993 (30),right,,Tunisie,eo sidi bouzid,2023,/wael-kordi/profil/spieler/529967,529967,29,sept.,1993
Gaith Zammel,Milieu offensif,29 janv. 1997 (27),right,"1,79m",Tunisie,egs gafsa,2023,/gaith-zammel/marktwertverlauf/spieler/359307,359307,29,janv.,1997
Naim Mathlouthi,Gardien de but,14 janv. 1991 (33),right,"1,79m",Tunisie,eo sidi bouzid,2023,/naim-mathlouthi/profil/spieler/447562,447562,14,janv.,1991
Karim Zaafouri,Défense,1 oct. 1997 (26),,,Tunisie,eo sidi bouzid,2023,/karim-zaafouri/profil/spieler/857045,857045,1,oct.,1997
Alaa Nbili,Avant-centre,- (-),,,Tunisie,la palme sportive tozeur,2023,/alaa-nbili/profil/spieler/290459,290459,,,
Amine Abassi,Attaquant,- (-),,,Tunisie,la palme sportive tozeur,2023,/amine-abassi/profil/spieler/290435,290435,,,
Mohamed Ali Aloui,Attaquant,19 févr. 1984 (40),,,Tunisie,la palme sportive tozeur,2023,/mohamed-ali-aloui/profil/spieler/159784,159784,19,févr.,1984
Khemaies Chebbi,Milieu défensif,- (-),right,,Tunisie,la palme sportive tozeur,2023,/khemaies-chebbi/profil/spieler/303021,303021,,,
Malek Chouikh,Ailier gauche,8 mai 2000 (24),right,"1,73m",Tunisie,olympique beja,2023,/malek-chouikh/marktwertverlauf/spieler/1106703,1106703,8,mai,2000
Mohamed Jaouher Touali,Milieu offensif,12 janv. 1999 (25),,,Tunisie,egs gafsa,2023,/mohamed-jaouher-touali/profil/spieler/672435,672435,12,janv.,1999
Mohamed Naizek Ellili,Ailier gauche,21 juil. 2004 (19),right,"1,82m",Tunisie,egs gafsa,2023,/mohamed-naizek-ellili/marktwertverlauf/spieler/1086613,1086613,21,juil.,2004
Abdenaceur Brahmia,Ailier gauche,22 févr. 2001 (23),right,,Tunisie,egs gafsa,2023,/abdenaceur-brahmia/marktwertverlauf/spieler/814405,814405,22,févr.,2001
Slim Jendoubi,Avant-centre,25 mai 1998 (26),right,,Tunisie,avenir sportif de gabes,2023,/slim-jendoubi/profil/spieler/487033,487033,25,mai,1998
Mohamed Wajdi Meddeb,Avant-centre,14 mars 1990 (34),right,,Tunisie,avenir sportif de gabes,2023,/mohamed-wajdi-meddeb/profil/spieler/347708,347708,14,mars,1990
Rayane Sebai,Ailier droit,3 janv. 1997 (27),right,,Tunisie,avenir sportif de gabes,2023,/rayane-sebai/profil/spieler/1022317,1022317,3,janv.,1997
Slah Khelifi,Ailier droit,22 janv. 2003 (21),,,Tunisie,avenir sportif de gabes,2023,/slah-khelifi/profil/spieler/1266993,1266993,22,janv.,2003
Ahmed Chaanbi,Ailier droit,25 août 1990 (33),,,Tunisie,avenir sportif de gabes,2023,/ahmed-chaanbi/profil/spieler/403401,403401,25,août,1990
Ayoub Ben Frej,Milieu central,- (-),,,Tunisie,olympique beja,2023,/ayoub-ben-frej/marktwertverlauf/spieler/863501,863501,,,
Hamza Ben Seghaier,Arrière droit,1 oct. 2003 (20),,,Tunisie,club athletique bizertin,2023,/hamza-ben-seghaier/marktwertverlauf/spieler/1069649,1069649,1,oct.,2003
Yassine Kchouk,Arrière droit,29 nov. 2000 (23),right,"1,88m",Tunisie,club athletique bizertin,2023,/yassine-kchouk/marktwertverlauf/spieler/703738,703738,29,nov.,2000
Moenes Tlili,Milieu,1 janv. 2005 (19),,,Tunisie,club athletique bizertin,2023,/moenes-tlili/marktwertverlauf/spieler/1201748,1201748,1,janv.,2005
Omar Allouche,Milieu,1 janv. 2006 (18),,,Tunisie,club athletique bizertin,2023,/omar-allouche/marktwertverlauf/spieler/1207288,1207288,1,janv.,2006
Mohamed Ouedfen,Milieu défensif,- (-),,,Tunisie,club athletique bizertin,2023,/mohamed-ouedfen/marktwertverlauf/spieler/1233557,1233557,,,
Omar Bilel,Avant-centre,1 févr. 2001 (23),,,Tunisie,as soliman,2023,/omar-bilel/profil/spieler/951578,951578,1,févr.,2001
Fakhreddine Jaziri,Défenseur central,25 janv. 1989 (35),left,,Tunisie,club athletique bizertin,2023,/fakhreddine-jaziri/profil/spieler/122396,122396,25,janv.,1989
Ali Machraoui,Attaquant,14 mars 1996 (28),right,"1,79m",Tunisie,jeunesse sportive omrane,2023,/ali-machraoui/profil/spieler/649693,649693,14,mars,1996
Anouar Manai,Deuxième attaquant,10 sept. 1993 (30),right,"1,79m",Tunisie,jeunesse sportive omrane,2023,/anouar-manai/profil/spieler/1113866,1113866,10,sept.,1993
Chamseddine Ben Ameur,Milieu central,13 avr. 1997 (27),right,,Tunisie,jeunesse sportive omrane,2023,/chamseddine-ben-ameur/profil/spieler/426801,426801,13,avr.,1997
Amir Cheikh,Milieu offensif,15 juin 1999 (25),,,Tunisie,as soliman,2023,/amir-cheikh/marktwertverlauf/spieler/947018,947018,15,juin,1999
Karim Aouadhi,Milieu défensif,2 mai 1986 (38),right,"1,94m",Tunisie,as soliman,2023,/karim-aouadhi/profil/spieler/133069,133069,2,mai,1986
Zidane Labidi,Milieu,13 nov. 2002 (21),,,Tunisie,as soliman,2023,/zidane-labidi/marktwertverlauf/spieler/1188324,1188324,13,nov.,2002
Mohamed Alaa Selmi,Ailier droit,20 mai 1996 (28),left,"1,74m",Tunisie,as soliman,2023,/mohamed-alaa-selmi/marktwertverlauf/spieler/523162,523162,20,mai,1996
Mohamed Mrayhi,Milieu,- (-),,,Tunisie,olympique du kef,2023,/mohamed-mrayhi/profil/spieler/251724,251724,,,
Nader Gara,Milieu défensif,6 nov. 1992 (31),right,,Tunisie,es zarzis,2023,/nader-gara/profil/spieler/577328,577328,6,nov.,1992
Mohamed Aziz Jarou,Milieu défensif,21 déc. 1999 (24),,,Tunisie,es zarzis,2023,/mohamed-aziz-jarou/profil/spieler/898079,898079,21,déc.,1999
Azer Ghali,Avant-centre,10 oct. 1994 (29),right,,Tunisie,es zarzis,2023,/azer-ghali/profil/spieler/253366,253366,10,oct.,1994
Mohamed Ali Amri,Avant-centre,19 mai 1996 (28),right,"1,84m",Tunisie,club africain,2023,/mohamed-ali-amri/marktwertverlauf/spieler/211001,211001,19,mai,1996
Nidhal Bouchereb,Ailier droit,2 oct. 1999 (24),left,,Tunisie,club africain,2023,/nidhal-bouchereb/profil/spieler/844464,844464,2,oct.,1999
